oid,platformname_1,datetime_1,speed_km_hr_1,distance_1_sec_1,bearing,point_x,point_y,point_z,platformtypename
-1,Badger1,10/3/2018 0:07,60,16.66666667,252.1495985,-67.13560777,18.4963556,0,Vehicle
-1, Sparrow1,10/3/2018 0:07,800,222.2222222,238.5227294,-67.12410836,18.49587298,0,Aircraft
-1,Neptune1,10/3/2018 0:07,40,11.11111111,341.7840519,-67.02611554,18.50981033,0,Ship
-1,Mako1,10/3/2018 0:07,60,16.66666667,307.3544192,-67.10836965,18.51560624,0,Speed Boat
-1,Badger1,10/3/2018 0:07,60,16.66666667,0.481853635,-67.13560777,18.49649758,0,Vehicle
-1, Sparrow1,10/3/2018 0:07,800,222.2222222,238.5227294,-67.12584595,18.49494118,0,Aircraft
-1,Mako1,10/3/2018 0:07,60,16.66666667,307.3544192,-67.10848935,18.51569151,0,Speed Boat
-1,Neptune1,10/3/2018 0:07,40,11.11111111,341.7840519,-67.02614656,18.50990029,0,Ship
-1,Badger1,10/3/2018 0:07,60,16.66666667,25.72037026,-67.13560777,18.49663957,0,Vehicle
-1, Sparrow1,10/3/2018 0:07,800,222.2222222,246.3206033,-67.12761683,18.49406756,0,Aircraft
-1,Mako1,10/3/2018 0:07,60,16.66666667,305.5956242,-67.10860974,18.51577591,0,Speed Boat
-1,Neptune1,10/3/2018 0:07,40,11.11111111,341.9984866,-67.02617741,18.50999031,0,Ship
-1,Neptune1,10/3/2018 0:07,40,11.11111111,341.9984866,-67.02620808,18.51008038,0,Ship
-1, Sparrow1,10/3/2018 0:07,800,222.2222222,248.2678262,-67.12941742,18.49325033,0,Aircraft
-1,Mako1,10/3/2018 0:07,60,16.66666667,305.1514262,-67.10873081,18.51585944,0,Speed Boat
-1,Badger1,10/3/2018 0:07,60,16.66666667,25.72037026,-67.13560651,18.49678128,0,Vehicle
-1,Mako1,10/3/2018 0:07,60,16.66666667,304.70572,-67.10885255,18.51594207,0,Speed Boat
-1, Sparrow1,10/3/2018 0:07,800,222.2222222,250.2889913,-67.13124552,18.49249003,0,Aircraft
-1,Neptune1,10/3/2018 0:07,40,11.11111111,342.4295032,-67.02623856,18.5101705,0,Ship
-1,Badger1,10/3/2018 0:07,60,16.66666667,25.72037026,-67.13554153,18.4969092,0,Vehicle
-1,Badger1,10/3/2018 0:07,60,16.66666667,25.72037026,-67.13547656,18.49703712,0,Vehicle
-1,Neptune1,10/3/2018 0:07,40,11.11111111,342.5376317,-67.02626888,18.51026068,0,Ship
-1,Mako1,10/3/2018 0:07,60,16.66666667,304.2583686,-67.10897496,18.51602381,0,Speed Boat
-1, Sparrow1,10/3/2018 0:07,800,222.2222222,252.4070353,-67.1330998,18.49178908,0,Aircraft
-1,Mako1,10/3/2018 0:07,60,16.66666667,303.8096278,-67.10909805,18.51610464,0,Speed Boat
-1,Neptune1,10/3/2018 0:07,40,11.11111111,342.6459138,-67.02629901,18.51035092,0,Ship
-1,Badger1,10/3/2018 0:07,60,16.66666667,25.72037026,-67.13541158,18.49716503,0,Vehicle
-1, Sparrow1,10/3/2018 0:07,800,222.2222222,254.6463892,-67.13497899,18.49115059,0,Aircraft
-1,Neptune1,10/3/2018 0:07,40,11.11111111,342.7540741,-67.02632896,18.5104412,0,Ship
